"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.577006590E-1,1.593688130E-2,5.390589237E-1,2.039718628E-2,5.396800465E-1
5.627055820E-1,-6.347331405E-2,5.036396980E-1,1.953601837E-2,5.079994715E-1
5.676798170E-1,-6.841602921E-2,5.133306980E-1,1.717853546E-2,5.181546687E-1
5.726846630E-1,-1.076070219E-1,5.540235043E-1,-6.827068329E-2,5.684911614E-1
5.776895770E-1,-1.068740338E-1,5.504188538E-1,-6.736660004E-2,5.647311152E-1
5.826942700E-1,-1.081351489E-1,5.521008968E-1,-6.776428223E-2,5.666573997E-1
5.876994040E-1,-1.094994098E-1,5.921905041E-1,-1.517486572E-2,6.024201112E-1
5.927040970E-1,-1.108110994E-1,5.943002701E-1,-1.567935944E-2,6.047460236E-1
5.977090200E-1,4.087975621E-2,6.331424713E-1,-1.583290100E-2,6.346583523E-1
6.026834850E-1,3.957816958E-2,6.338772774E-1,-1.598453522E-2,6.353127888E-1
6.076884090E-1,1.148203015E-1,5.589215755E-1,1.784324646E-3,5.705963662E-1
6.126933130E-1,1.131570637E-1,5.600144863E-1,1.551628113E-3,5.713345373E-1
6.176982360E-1,1.876972616E-1,5.616295338E-1,1.181602478E-3,5.921650035E-1
6.227030960E-1,1.866895258E-1,5.587122440E-1,-4.043579102E-3,5.890914201E-1
6.276773270E-1,1.097750962E-1,5.191340446E-1,-3.870964050E-3,5.306276589E-1
6.326822320E-1,-4.435148835E-2,4.829218388E-1,-4.308700562E-3,4.849733207E-1
6.376870780E-1,-4.405039549E-2,4.801793098E-1,-3.615379333E-3,4.822091641E-1
6.426920010E-1,-1.189875156E-1,4.008474350E-1,-4.125595093E-3,4.181551333E-1
6.476969240E-1,-1.178819090E-1,3.986287117E-1,-3.588676453E-3,4.157088799E-1
6.527018470E-1,-2.302334011E-1,2.425503731E-1,-2.875328064E-3,3.344344031E-1
6.577067740E-1,-2.279239297E-1,2.393174171E-1,1.940727234E-3,3.304934346E-1
6.626810050E-1,-1.114373952E-1,2.361340523E-1,2.719879150E-3,2.611225410E-1
6.676859280E-1,-1.100372523E-1,2.708766460E-1,3.545761108E-3,2.923951550E-1
6.726908230E-1,-1.085340232E-1,2.664263248E-1,4.652976990E-3,2.877225590E-1
6.776956690E-1,6.460011005E-3,1.886212826E-1,-3.299140930E-2,1.915937188E-1
6.827003670E-1,7.803171873E-3,1.816496849E-1,-3.122329712E-2,1.844787028E-1
6.877055210E-1,2.358412147E-1,-4.798245430E-2,-3.125286102E-2,2.426935017E-1
6.926797700E-1,2.353491187E-1,-5.289435387E-2,-2.996349335E-2,2.430737157E-1
6.976846170E-1,4.229245782E-1,-5.551934242E-2,-1.313781738E-2,4.267554317E-1
7.026895400E-1,4.961021245E-1,-9.589171410E-2,-1.243591309E-2,5.054376229E-1
7.076944810E-1,4.922282100E-1,-9.814643860E-2,-1.173686981E-2,5.020548657E-1
