"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.075043726E1,6.504534872E1,2.543788916E1,6.517820121E0,2.400000000E1,1.259999990E0,2.857999878E2,8.169264073E-2,2.000000000E0,3.000000000E0,2.800000000E1
7.174501856E1,6.504534197E1,2.543786285E1,6.517820270E0,2.400000000E1,1.399999976E0,2.770000000E2,8.255793046E-2,2.000000000E0,3.000000000E0,2.800000000E1
7.274212199E1,6.504534180E1,2.543784440E1,6.517818520E0,2.400000000E1,1.429999948E0,2.831000061E2,8.383066823E-2,2.000000000E0,3.000000000E0,2.700000000E1
7.375188460E1,6.504534327E1,2.543781750E1,5.517815269E0,2.300000000E1,1.569999933E0,2.887000122E2,8.551730480E-2,2.000000000E0,3.000000000E0,3.000000000E1
7.475177906E1,6.504534935E1,2.543778456E1,5.517809547E0,2.300000000E1,1.569999933E0,2.977000122E2,8.676973865E-2,2.500000000E0,3.000000000E0,3.000000000E1
7.574732733E1,6.504534692E1,2.543775849E1,5.517807965E0,2.300000000E1,1.799999952E0,2.766000061E2,8.843434830E-2,2.000000000E0,3.000000000E0,3.100000000E1
7.674684587E1,6.504534172E1,2.543772521E1,5.517806798E0,2.300000000E1,1.250000000E0,2.652000122E2,8.977846232E-2,2.000000000E0,3.000000000E0,2.900000000E1
7.774940533E1,6.504533950E1,2.543769705E1,5.517804925E0,2.300000000E1,1.230000019E0,2.625000000E2,9.071669993E-2,2.500000000E0,3.000000000E0,3.000000000E1
7.875135187E1,6.504533556E1,2.543767937E1,5.517804784E0,2.300000000E1,1.189999938E0,2.656000061E2,9.128689136E-2,2.500000000E0,3.000000000E0,3.100000000E1
7.975435556E1,6.504533560E1,2.543766721E1,5.517803568E0,2.300000000E1,9.399999976E-1,2.757999878E2,9.173405094E-2,2.500000000E0,3.000000000E0,3.100000000E1
8.074822867E1,6.504533786E1,2.543765933E1,5.517801870E0,2.300000000E1,8.199999928E-1,3.051000061E2,9.312626106E-2,2.500000000E0,3.000000000E0,3.000000000E1
8.174389875E1,6.504533556E1,2.543763016E1,4.517799931E0,2.200000000E1,1.789999962E0,2.695000000E2,9.495289981E-2,2.500000000E0,3.000000000E0,3.000000000E1
8.274591332E1,6.504532563E1,2.543759915E1,4.517800917E0,2.200000000E1,1.629999995E0,2.610000000E2,9.648968457E-2,3.000000000E0,3.000000000E0,2.900000000E1
