"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.046049760E-1,-2.793849111E-1,1.052927971E-2,3.231239319E-2,2.814442840E-1
9.096244230E-1,-2.763653994E-1,1.036870480E-2,-4.562377930E-3,2.765974680E-1
9.145841150E-1,-3.395195901E-1,-1.086124182E-1,-3.856658936E-3,3.564899484E-1
9.195890380E-1,-3.316451609E-1,-1.102340221E-1,-3.568649292E-3,3.495036304E-1
9.245939290E-1,-2.537567616E-1,-2.612533569E-1,-3.910064697E-3,3.642267139E-1
9.296136210E-1,-2.469467968E-1,-2.617907524E-1,5.195617676E-3,3.599223707E-1
9.346037600E-1,-1.260559261E-1,-2.999242544E-1,5.215644836E-3,3.253795597E-1
9.396087600E-1,-6.142511964E-3,-3.764812946E-1,5.163192749E-3,3.765667991E-1
9.445831440E-1,-1.298908144E-3,-3.761179447E-1,5.116462708E-3,3.761549863E-1
9.496026060E-1,7.883302867E-2,-4.900951385E-1,1.184749603E-2,4.965362569E-1
9.545927600E-1,8.740095794E-2,-4.907660484E-1,1.200389862E-2,4.986324652E-1
9.595976830E-1,2.386540771E-1,-4.873003960E-1,1.139450073E-2,5.427221011E-1
9.646025770E-1,2.414818108E-1,-4.859211445E-1,1.116943359E-2,5.427315910E-1
9.696221920E-1,1.675647944E-1,-4.835855961E-1,5.683135986E-2,5.149396009E-1
9.746123560E-1,1.955511793E-2,-3.663105965E-1,5.646991730E-2,3.711532127E-1
9.795868180E-1,2.343838662E-2,-3.641246557E-1,5.611705780E-2,3.691683180E-1
9.845915100E-1,-4.802194983E-2,-4.386309385E-1,5.572605133E-2,4.447567883E-1
9.896111390E-1,-4.352292418E-2,-4.369602203E-1,1.165208817E-1,4.543188252E-1
9.946013700E-1,3.585626185E-2,-2.820928097E-1,1.163787842E-1,3.072556691E-1
9.996062930E-1,4.273466021E-2,-2.822827101E-1,1.164665222E-1,3.083410942E-1
1.004611139E0,-1.437155455E-1,-3.200668097E-1,1.162977219E-1,3.696242427E-1
1.009600139E0,-1.019367129E-1,-3.177534342E-1,1.189336777E-1,3.542648134E-1
1.014590293E0,-9.827749431E-2,-3.154560328E-1,1.185741425E-1,3.510424501E-1
1.019595202E0,-1.324792802E-1,-2.744996548E-1,1.182785034E-1,3.269413166E-1
1.024600049E0,-1.286026537E-1,-2.725656033E-1,1.179866791E-1,3.236533749E-1
1.029619524E0,6.435576081E-2,-1.546564102E-1,5.841827393E-2,1.774062116E-1
